reference,frame_narrator,embed_type,speaker,confidence,needs_review,open_pattern,close_pattern,first_50_chars
"Helaman 5:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Helaman,"HIGH",False,"\bthese are the words (of|which)\b","","For they remembered the words which their father H"
"Helaman 5:26",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lehi,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that Nephi and Lehi did stand "
"Helaman 5:27",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And behold, when they had said these words, the ea"
"Helaman 5:29",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice as if "
"Helaman 5:32",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And behold the voice came again, saying: Repent ye"
"Helaman 5:38",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And they said unto the man: Behold, what do all th"
"Helaman 5:39",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","Now the man's name was Aminadab. And Aminadab said"
"Helaman 5:41",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And Aminadab said unto them: You must repent, and "
"Helaman 5:46",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice unto t"
"Helaman 7:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bopened his mouth and (taught|said|spak","","And it came to pass that he opened his mouth and s"
"Helaman 8:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Nephi had said t"
"Helaman 8:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore they did cry unto the people, saying: Wh"
"Helaman 8:11",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore he was constrained to speak more unto th"
"Helaman 9:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\band\s+they\s+said\b","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Behold, now it came to pass that when Nephi had sp"
"Helaman 9:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that they inquired among the p"
"Helaman 9:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that the judges desired that t"
"Helaman 9:16",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And now it came to pass that the judges did expoun"
"Helaman 9:20",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Saying unto him: Thou art confederate; who is this"
"Helaman 10:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass as he was thus pondering--bein"
"Helaman 10:14",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","Therefore Nephi did declare unto them the word of "
"Helaman 11:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that in this year Nephi did cr"
"Helaman 11:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that the judges did say unto N"
"Helaman 12:26",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","Yea, who shall be consigned to a state of endless "
"Helaman 13:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that in this year there was on"
"Helaman 13:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Behold, I, Samuel, a Lamani"
"Helaman 14:27",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto me that while the thunder and the"
"Helaman 16:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\bsaying\s*[:;,]","","But the more part of them did not believe in the w"
"Helaman 16:7",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","And as they went forth to lay their hands on him, "
"Helaman 16:15",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Nevertheless, the people began to harden their hea"
"Helaman 16:17",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they began to reason and to contend among them"
"3 Nephi 1:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","But there were some who began to say that the time"
"3 Nephi 1:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they began to rejoice over their brethren, say"
"3 Nephi 1:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that he cried mightily unto th"
"3 Nephi 1:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","And there were no contentions, save it were a few "
"3 Nephi 3:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Christ,"HIGH",False,"\bsaying\s*[:;,]","","And now it came to pass that in the sixteenth year"
"3 Nephi 4:28",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And their leader, Zemnarihah, was taken and hanged"
"3 Nephi 4:30",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\bsaying\s*[:;,]","","And they did rejoice and cry again with one voice,"
"3 Nephi 5:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And now I make an end of my saying, which is of my"
"3 Nephi 5:26",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And then shall they know their Redeemer, who is Je"
"3 Nephi 8:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And in one place they were heard to cry, saying: O"
"3 Nephi 8:25",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And in another place they were heard to cry and mo"
"3 Nephi 10:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice again "
"3 Nephi 11:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And behold, the third time they did understand the"
"3 Nephi 11:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that he stretched forth his ha"
"3 Nephi 11:12",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Jesus had spoken the"
"3 Nephi 11:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that the Lord spake unto them "
"3 Nephi 11:16",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And when they had all gone forth and had witnessed"
"3 Nephi 11:22",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And again the Lord called others, and said unto th"
"3 Nephi 11:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And now behold, these are the words which ye shall"
"3 Nephi 11:25",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","Having authority given me of Jesus Christ, I bapti"
"3 Nephi 12:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Jesus had spoken the"
"3 Nephi 13:13",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","For thine is the kingdom, and the power, and the g"
"3 Nephi 13:25",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Jesus had spoken"
"3 Nephi 13:31",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore take no thought, saying, What shall we e"
"3 Nephi 14:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Jesus had spoken"
"3 Nephi 15:2",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Jesus had said these"
"3 Nephi 15:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Marvel not that I said unto"
"3 Nephi 15:11",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Jesus had spoken"
"3 Nephi 17:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Behold, now it came to pass that when Jesus had sp"
"3 Nephi 17:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Behold, my bowels are fille"
"3 Nephi 17:15",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when he had said these words, he himself also "
"3 Nephi 17:20",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And they arose from the earth, and he said unto th"
"3 Nephi 17:21",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when he had said these words, he wept, and the"
"3 Nephi 18:17",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Jesus had spoken the"
"3 Nephi 18:26",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Jesus had spoken"
"3 Nephi 19:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\band\s+he\s+said\b","","And it came to pass that Jesus departed out of the"
"3 Nephi 19:26",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Jesus said unto them: Pray on; nevertheless th"
"3 Nephi 19:27",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And he turned from them again, and went a little w"
"3 Nephi 19:30",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when Jesus had spoken these words he came agai"
"3 Nephi 20:8",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: He that eateth this bread e"
"3 Nephi 20:23",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\bsaying\s*[:;,]","","Behold, I am he of whom Moses spake, saying: A pro"
"3 Nephi 20:27",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And after that ye were blessed then fulfilleth the"
"3 Nephi 23:6",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Jesus had said t"
"3 Nephi 23:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","Verily I say unto you, I commanded my servant Samu"
"3 Nephi 23:11",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Jesus said unto them: How be it that ye have n"
"3 Nephi 24:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And it came to pass that he commanded them that th"
"3 Nephi 26:11",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Behold, I was about to write them, all which were "
"3 Nephi 27:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And they said unto him: Lord, we will that thou wo"
"3 Nephi 28:1",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass when Jesus had said these word"
"3 Nephi 28:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they all spake, save it were three, saying: We"
"3 Nephi 28:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Blessed are ye because ye d"
"3 Nephi 28:4",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+(he|she|they)\s+had\s+(spoken|s","And when he had spoken unto them, he turned himsel"
"3 Nephi 28:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Behold, I know your thought"
"3 Nephi 28:12",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Jesus had spoken the"
"3 Nephi 30:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Jesus,"HIGH",False,"\bsaying\s*[:;,]","","Hearken, O ye Gentiles, and hear the words of Jesu"
"Mormon 1:2",FRAME_MORMON_AUTHOR,EMBED_SPEECH,Lord,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And about the time that Ammaron hid up the records"
"Mormon 3:4",FRAME_MORMON_AUTHOR,EMBED_DOCUMENT,,"MEDIUM",False,"","","And it came to pass that after this tenth year had"
"Mormon 3:14",FRAME_MORMON_AUTHOR,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And when they had sworn by all that had been forbi"
"Mormon 7:1",FRAME_MORMON_AUTHOR,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And now, behold, I would speak somewhat unto the r"
"Mormon 7:10",FRAME_MORMON_AUTHOR,NONE,,"LOW",True,"","\bamen\b","And ye will also know that ye are a remnant of the"
"Mormon 9:37",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","And may the Lord Jesus Christ grant that their pra"
"Ether 1:38",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that Jared spake again unto hi"
"Ether 2:18",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that the brother of Jared crie"
"Ether 2:22",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","","And he cried again unto the Lord saying: O Lord, b"
"Ether 3:1",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that the brother of Jared, (no"
"Ether 3:13",FRAME_MORONI_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when he had said these words, behold, the Lord"
"Ether 4:19",FRAME_MORONI_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And blessed is he that is found faithful unto my n"
"Ether 5:6",FRAME_MORONI_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And now, if I have no authority for these things, "
"Ether 8:12",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And Jared said unto him: I will give her unto you,"
"Ether 12:23",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And I said unto him: Lord, the Gentiles will mock "
"Ether 12:26",FRAME_MORONI_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And when I had said this, the Lord spake unto me, "
"Ether 12:41",FRAME_MORONI_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And now, I would commend you to seek this Jesus of"
"Ether 15:4",FRAME_MORONI_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And it came to pass that he wrote an epistle unto "
"Ether 15:5",FRAME_MORONI_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And it came to pass that when Shiz had received hi"
"Ether 15:18",FRAME_MORONI_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And it came to pass that Coriantumr wrote again an"
"Ether 15:34",FRAME_MORONI_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","Now the last words which are written by Ether are "
"Moroni 2:2",FRAME_MORONI_AUTHOR,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And he called them by name, saying: Ye shall call "
"Moroni 3:3",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","In the name of Jesus Christ I ordain you to be a p"
"Moroni 4:2",FRAME_MORONI_AUTHOR,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they did kneel down with the church, and pray "
"Moroni 4:3",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","O God, the Eternal Father, we ask thee in the name"
"Moroni 5:2",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","O God, the Eternal Father, we ask thee, in the nam"
"Moroni 7:26",FRAME_MORONI_AUTHOR,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And after that he came men also were saved by fait"
"Moroni 7:48",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","Wherefore, my beloved brethren, pray unto the Fath"
"Moroni 8:1",FRAME_MORONI_AUTHOR,EMBED_SPEECH,Mormon,"HIGH",False,"\bsaying\s*[:;,]","","An epistle of my father Mormon, written to me, Mor"
"Moroni 8:7",FRAME_MORONI_AUTHOR,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","For immediately after I had learned these things o"
"Moroni 8:30",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","Farewell, my son, until I shall write unto you, or"
"Moroni 9:26",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","And may the grace of God the Father, whose throne "
"Moroni 10:34",FRAME_MORONI_AUTHOR,NONE,,"LOW",True,"","\bamen\b","And now I bid unto all, farewell. I soon go to res"
